epoch,Acc,loss
0,0.579954954954955,1.3562901666755736
1,0.6768018018018018,0.6967124712332228
2,0.6846846846846847,0.5279664739519122
3,0.7083333333333334,0.46524554096608284
4,0.670045045045045,0.43365459818368796
5,0.6993243243243243,0.40379885565257395
6,0.6554054054054054,0.3870386746749138
7,0.6790540540540541,0.36896201624082686
8,0.7623873873873874,0.3533853678027852
9,0.6959459459459459,0.3432494144053005
10,0.6993243243243243,0.33873396253970833
11,0.704954954954955,0.3280603272560837
12,0.7545045045045045,0.31962221686371756
13,0.7105855855855856,0.30946270912305
14,0.7207207207207207,0.3125005716396169
15,0.7218468468468469,0.3012114109152008
16,0.670045045045045,0.2927347623414694
17,0.7083333333333334,0.29145662065020606
