epoch,accuracy,loss
0,0.3225,3.9647509241104126
1,0.516875,3.0429796171188355
2,0.65625,2.543164418935776
3,0.760625,2.243470022678375
4,0.813125,2.0575286388397216
5,0.84375,1.8778806787729263
6,0.8525,1.7615747064352036
7,0.890625,1.6662074255943298
8,0.893125,1.5768435972929
9,0.91875,1.5242004919052123
10,0.91625,1.4613040244579316
11,0.915,1.4100526830554008
12,0.964375,1.3674222868680954
13,0.955,1.3280229434370994
14,0.9725,1.2912746906280517
15,0.9625,1.2539002576470375
16,0.96125,1.2282329928874969
17,0.96625,1.2135639724135399
18,0.985,1.1724391904473306
19,0.975,1.1688943797349929
20,0.973125,1.1569705793261529
21,0.984375,1.1375769597291947
22,0.98125,1.1091438540816307
23,0.98875,1.0926506426930427
24,0.989375,1.0760730171203614
25,0.9925,1.079415600001812
26,0.99375,1.047833549976349
27,0.995,1.0337693166732789
28,0.9925,1.0231520718336105
29,0.995,1.0287376549839973
30,0.988125,1.0304303932189942
31,0.995625,0.9975579234957695
32,0.995,1.0030318200588226
33,0.9925,0.9878428599238396
34,0.995625,0.9807718583941459
35,0.994375,0.9650437012314796
36,0.995,0.9628204730153084
37,0.9975,0.9623654961585999
38,0.988125,0.9415697717666626
