epoch,ER,F1,loss
0,3.3611193807680855,0.3278729694866497,3.0560610656738283
1,3.674545995832093,0.2978197201431826,2.9841566937764488
2,3.416076213158678,0.3040036657311415,2.938076271057129
3,2.0810360226257814,0.3298188611810576,2.8882272516886394
4,1.620422744864543,0.38365196960797315,2.8415790208180747
5,1.1326585293242037,0.4214557608392907,2.785705249786377
6,1.0331050908008335,0.3975250562487216,2.736351531982422
7,0.9915451027091396,0.457240392580135,2.701926036834717
8,0.9425424233402798,0.454934502374615,2.665595662434896
9,0.9486752009526644,0.4519245917134905,2.636792463938395
10,0.9487347424828818,0.4467535207553141,2.6031681830088296
11,0.867103304554927,0.48735977671622566,2.5758558050791422
12,0.8535278356653766,0.47958987855360913,2.5536049995422365
13,0.8311402203036617,0.4939772536276542,2.5325100428263347
14,0.8536469187258112,0.45948752490808564,2.505146323521932
15,0.8397142006549567,0.4499033788136089,2.4829737555185956
16,0.6473355165227747,0.5001499050601286,2.4553305791219073
17,0.5933908901458768,0.5465771083519912,2.429957050323486
18,0.8125632628758559,0.44923283819304355,2.412791893641154
19,0.8074426912771657,0.46553251816409713,2.389543315251668
20,0.5949389699315272,0.5659869180454021,2.3752665424346926
21,0.7928550163739208,0.4997857571342874,2.3572248306274415
22,0.6288181006251861,0.5330749354005168,2.336825506210327
23,0.5738017267043762,0.5662981574539364,2.321149996439616
24,0.5772551354569813,0.5700858327078099,2.3069462350209555
25,0.5832092884787139,0.5596080566140447,2.2907042185465496
26,0.5715986900863352,0.5778748655081348,2.2805853621164958
27,0.7183685620720452,0.5191177773184917,2.264896354675293
28,0.6258410241143197,0.5611221203864256,2.2559175294240315
29,0.806370943733254,0.4964336661911555,2.2414000205993654
30,0.6533492110747247,0.5532978311962634,2.2315862089792886
31,0.6044060732360822,0.5613746920209741,2.217492202758789
32,0.6968145281333731,0.5354562877782693,2.2029126421610514
33,0.574099434355463,0.5830964563198787,2.196394116719564
34,0.5630247097350403,0.5797732067510549,2.179251918156942
35,0.579220005954153,0.5709257303766279,2.177908997853597
36,0.5738612682345937,0.5710139191239527,2.169093153635661
