epoch,accuracy,loss
0,0.38963963963963966,2.083014102626987
1,0.45495495495495497,1.3158714278265542
2,0.5855855855855856,1.0196758609501075
3,0.5731981981981982,0.8759059593270727
4,0.5957207207207207,0.7334197682769857
5,0.6486486486486487,0.6400307374852103
6,0.6407657657657657,0.5682159895345383
7,0.6385135135135135,0.510497735839087
8,0.6677927927927928,0.4658877214443412
9,0.6272522522522522,0.42228021475673067
10,0.6227477477477478,0.3949797010150433
11,0.6396396396396397,0.36873698422189927
12,0.5371621621621622,0.34492893552610693
13,0.6734234234234234,0.32640213171533
14,0.6599099099099099,0.3092152039340414
15,0.6373873873873874,0.2943280505540001
16,0.6869369369369369,0.2636610612469414
17,0.6509009009009009,0.26112921190395183
18,0.6903153153153153,0.24799990111468356
19,0.6914414414414415,0.23353119806712838
20,0.6711711711711712,0.23052297104686126
21,0.6722972972972973,0.2155260809968827
22,0.6655405405405406,0.21548344895238436
23,0.6283783783783784,0.2099194654333766
24,0.6734234234234234,0.20600117404849735
25,0.6745495495495496,0.18667504804645615
26,0.6430180180180181,0.18925128112282574
27,0.6677927927927928,0.17896394530615722
28,0.5912162162162162,0.18770542849511707
29,0.6948198198198198,0.1826003420280939
30,0.6047297297297297,0.1795547247713143
31,0.5945945945945946,0.17955022408355067
32,0.6644144144144144,0.16656529815094112
