epoch,Acc,loss
0,0.2927927927927928,1.9091888414991058
1,0.3141891891891892,1.5893025775367684
2,0.3536036036036036,1.452262936726055
3,0.38063063063063063,1.36551921592876
4,0.3952702702702703,1.294886675364042
5,0.4099099099099099,1.2421161551294748
6,0.41103603603603606,1.196502658726637
7,0.4177927927927928,1.1580018094046802
8,0.4403153153153153,1.125767777838864
9,0.44594594594594594,1.0950866824281076
10,0.44144144144144143,1.0695154414256958
11,0.46283783783783783,1.0463092264512668
12,0.44932432432432434,1.0268878988629917
13,0.4617117117117117,1.007697857930247
14,0.4864864864864865,0.9911731505260621
15,0.46396396396396394,0.974761730028725
16,0.45157657657657657,0.9588925398751917
17,0.47184684684684686,0.9461995033168733
18,0.5011261261261262,0.936207849428178
19,0.46734234234234234,0.9210736303688059
20,0.44932432432432434,0.9108060937701286
21,0.46283783783783783,0.9016801304073345
22,0.48761261261261263,0.889989286161047
23,0.48423423423423423,0.8821608644601645
24,0.46959459459459457,0.8765860499618511
25,0.49211711711711714,0.8668911601164979
26,0.49774774774774777,0.8565679025842656
27,0.49436936936936937,0.8525424574086798
28,0.48761261261261263,0.8442437665072785
29,0.47184684684684686,0.8389036580225635
30,0.4797297297297297,0.8302154154270758
31,0.48085585585585583,0.8262394326973436
