epoch,accuracy,loss
0,0.7094594594594594,0.3905855098080718
1,0.6283783783783784,0.36297528630603415
2,0.6599099099099099,0.3565864161987483
3,0.6914414414414415,0.3351307540458304
4,0.6655405405405406,0.3348419937389904
5,0.6993243243243243,0.3018680863461782
6,0.6452702702702703,0.3078645140230112
7,0.6373873873873874,0.2951341132858487
8,0.6655405405405406,0.29521940564868027
9,0.6666666666666666,0.28015040557124143
10,0.6925675675675675,0.27768753411404373
11,0.6587837837837838,0.2693853137048373
12,0.7038288288288288,0.2602128905500306
13,0.6801801801801802,0.25079584891127676
14,0.6430180180180181,0.24296284870749127
15,0.6385135135135135,0.2452898417971095
16,0.6711711711711712,0.24738691010377742
17,0.6497747747747747,0.23177003579488906
18,0.6418918918918919,0.23176571542118835
19,0.6813063063063063,0.22931102220445493
20,0.7150900900900901,0.22544609679923955
21,0.6835585585585585,0.22242090283890265
22,0.6824324324324325,0.21932740175800888
23,0.6813063063063063,0.21731190965254987
24,0.7195945945945946,0.21386813582952968
25,0.6790540540540541,0.20922111734344495
26,0.6846846846846847,0.20316718134326037
27,0.7218468468468469,0.20402795033889748
28,0.6711711711711712,0.19800410089089707
29,0.652027027027027,0.18728216357036354
30,0.6644144144144144,0.19408798653806172
31,0.6171171171171171,0.19883351152397505
32,0.6745495495495496,0.1920634083513214
33,0.6306306306306306,0.19803411071370514
34,0.6790540540540541,0.18807374195682935
35,0.6351351351351351,0.19447764533992906
36,0.6914414414414415,0.17952400693152581
37,0.6925675675675675,0.1798606324775541
38,0.6903153153153153,0.17876887991842114
39,0.6970720720720721,0.1724122623330728
40,0.6981981981981982,0.17265013578154811
41,0.740990990990991,0.1779375219706119
42,0.6204954954954955,0.17456244417907993
43,0.6475225225225225,0.1776892723754438
44,0.6621621621621622,0.16643793727598796
45,0.6936936936936937,0.17059733485396072
46,0.6790540540540541,0.1723645040474943
47,0.7105855855855856,0.16130742953995683
48,0.652027027027027,0.16931300565653062
49,0.661036036036036,0.1724036912721986
